mab_uid,mab_name,Protein_RefID,virus_id,virus_name,Family,Organism,Species,Epitope,pubmed_id,Target Protein,Target type,Target,Target name,Assay type,Assay,Quantitative measure,Unit,disease_id,disease_name
996_BtNb344,BtNb344,,64320,ZIKV,Flavivirus,"Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)",ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,"UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)","Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
997_BtNb345,BtNb345,,11060,DENV2,Flavivirus,"Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2), Dengue virus type 2 (strain Jamaica/1409/1983) (DENV-2), dengue virus type 2",DENV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
998_BtNb38,BtNb38,,11060,DENV2,Flavivirus,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),DENV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: P29990 Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
999_BtNb39,BtNb39,,11069,DENV3,Flavivirus,dengue virus type 3,DENV,"NS1, Non-structural protein 1",33317184,"pol, Genome polyprotein",Protein,UniProt: A9LID6 dengue virus type 3,"pol, Genome polyprotein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
1000_D1-4G2-4-15,D1-4G2-4-15,Cellosaurus: CVCL_J890,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,Envelope protein E,26265529,Genome polyprotein,Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),Genome polyprotein,Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1001_DENV2P10,DENV2P10,,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"NS1, Non-structural protein 1",24751715,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1002_DENV2P13,DENV2P13,,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"NS1, Non-structural protein 1",24751715,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1003_DENV2P2,DENV2P2,,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"NS1, Non-structural protein 1",24751715,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1004_DENV2P9,DENV2P9,,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"NS1, Non-structural protein 1",24751715,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1005_DV2-104,DV2-104,PDB: 3J8D,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"Envelope protein E, DIII C-C_ loop",25355881,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1006_E111,E111,PDB: 3J8D,64320,ZIKV,Flavivirus,Zika virus (ZIKV),ZIKV,"Envelope protein E, DIII C-C_ loop",25355881,"POLY, Core protein",Protein,UniProt: Q32ZE1 Zika virus (ZIKV),"POLY, Core protein",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
"1007_EDE1 C10, HMAb C10","EDE1 C10, HMAb C10","PDB: 4UT9, PDB: 5H30",11053,DENV1,Flavivirus,dengue virus type 1,DENV,"Envelope protein E, E dimer-dependent epitope 1 (EDE1)"," 27882950,  25501631,  25581790","Genome polyprotein, Envelope protein E",Protein,UniProt: Q689G3 dengue virus type 1,"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
"1008_EDE1 C10, HMAb C10","EDE1 C10, HMAb C10","PDB: 4UT9, PDB: 5H30",11069,DENV3,Flavivirus,dengue virus type 3,DENV,"Envelope protein E, E dimer-dependent epitope 1 (EDE1)"," 27882950,  25501631,  25581790","pol, Genome polyprotein",Protein,UniProt: A9LID6 dengue virus type 3,"pol, Genome polyprotein",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
1009_EDE2 A11 Fab,EDE2 A11 Fab,"PDB: 5LCV,  5N09, 4UT7",64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, E dimer-dependent epitope 2 (EDE2)"," 28534525,  25501631,  25581790",Genome polyprotein,Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),Genome polyprotein,Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1010_EDIIImAb-61,EDIIImAb-61,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, Domain III (EDIII)",27059141,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1011_Fab 1H10,Fab 1H10,PDB: 6IDI,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Protein prM, Precursor membrane"," 26512092,  30471923","Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1012_FabZK2B10,FabZK2B10,PDB: 6JEP,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DIII domain"," 29719255,  30893607","Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1013_HANbA12,HANbA12,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1014_HANbA7,HANbA7,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1015_HANbB8,HANbB8,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1016_HANbC7,HANbC7,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1017_HANbD6,HANbD6,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,Flow cytometry,,,Z-TBD,Z-TBD
1018_HANbD9,HANbD9,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"NS1, Non-structural protein 1",33317184,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",,,Z-TBD,Z-TBD
1019_HM14c10,HM14c10,PDB: 4CAU,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,Envelope protein E,22723463,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,Flow cytometry,,,Z-TBD,Z-TBD
1020_HMAb 1H10,HMAb 1H10,PDB: 6IDI,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Protein prM, Precursor membrane"," 26512092,  30471923","Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,Z-TBD,Z-TBD
1021_HMAb DV62.5,HMAb DV62.5,PDB: 6LNT,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Protein prM, Precursor membrane protein"," 32060358,  20833378","Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization, X-ray crystallography",,,Z-TBD,Z-TBD
1022_MHRP ZIKV-1001,MHRP ZIKV-1001,"PDB: 6NIP, PDB: 6MTX",64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",7.5,ng/ml,Z-TBD,Z-TBD
1023_MHRP ZIKV-1001,MHRP ZIKV-1001,"PDB: 6NIP, PDB: 6MTX",11053,DENV1,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",919.3,ng/ml,DOID:12205,DOID:12205
1024_MHRP ZIKV-1001,MHRP ZIKV-1001,"PDB: 6NIP, PDB: 6MTX",11060,DENV2,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",1.9,ng/ml,DOID:12205,DOID:12205
1025_MHRP ZIKV-1001,MHRP ZIKV-1001,"PDB: 6NIP, PDB: 6MTX",11069,DENV3,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",49,ng/ml,DOID:12205,DOID:12205
1026_MHRP-Z1001,MHRP-Z1001,"PDB: 6NIP, PDB: 6MTX",11070,DENV4,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",286.6,ng/ml,DOID:12205,DOID:12205
1027_MHRP-Z1002,MHRP-Z1002,,64320,ZIKV,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region, This antibody neutralizes ZIKV and DENV2 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: A0A024B7W1 Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",1,ng/ml,Z-TBD,Z-TBD
1028_MHRP-Z1002,MHRP-Z1002,,11053,DENV1,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region, This antibody neutralizes ZIKV and DENV2 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",263,ng/ml,DOID:12205,DOID:12205
1029_MHRP-Z1002,MHRP-Z1002,,11060,DENV2,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region, This antibody neutralizes ZIKV and DENV2 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",1.8,ng/ml,DOID:12205,DOID:12205
1030_MHRP-Z1002,MHRP-Z1002,,11069,DENV3,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region, This antibody neutralizes ZIKV and DENV2 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",16.5,ng/ml,DOID:12205,DOID:12205
1031_MHRP-Z1002,MHRP-Z1002,,11070,DENV4,Flavivirus,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV),ZIKV,"Envelope protein E, DI/DIII linker region, This antibody neutralizes ZIKV and DENV2 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"Flow cytometry, Neutralization",238.9,ng/ml,DOID:12205,DOID:12205
1032_MHRP-Z1004,MHRP-Z1004,"PDB: 6NIU, PDB: 6MTY",11053,DENV1,Flavivirus,"Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1), Dengue virus type 2 (strain Jamaica/1409/1983) (DENV-2), Dengue virus type 3 (strain Philippines/H87/1956) (DENV-3), Dengue virus type 4 (strain Dominica/814669/1981) (DENV-4)",DENV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,DOID:12205,DOID:12205
1033_MHRP-Z1020,MHRP-Z1020,,11082,WNV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DII domain, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,W-TBD,W-TBD
1034_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,11082,WNV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),"Genome polyprotein, Envelope protein E, Protein prM",Binding,"ELISA, X-ray crystallography",,,W-TBD,W-TBD
1035_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,64320,ZIKV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,,"Genome polyprotein, Envelope protein E, Protein prM",Neutralization,"ELISA, X-ray crystallography",22.6,ng/ml,Z-TBD,Z-TBD
1036_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,11053,DENV1,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,,"Genome polyprotein, Envelope protein E, Protein prM",Neutralization,"ELISA, X-ray crystallography",151.6,ng/ml,DOID:12205,DOID:12205
1037_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,11060,DENV2,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,,"Genome polyprotein, Envelope protein E, Protein prM",Neutralization,"ELISA, X-ray crystallography",1.3,ng/ml,DOID:12205,DOID:12205
1038_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,11069,DENV3,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,,"Genome polyprotein, Envelope protein E, Protein prM",Neutralization,"ELISA, X-ray crystallography",15.9,ng/ml,DOID:12205,DOID:12205
1039_MHRP-Z1024,MHRP-Z1024,PDB: 6NIS,11070,DENV4,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E, Protein prM",Protein,,"Genome polyprotein, Envelope protein E, Protein prM",Neutralization,"ELISA, X-ray crystallography",356.6,ng/ml,DOID:12205,DOID:12205
1040_MHRP-Z1054,MHRP-Z1054,,11082,WNV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,ng/ml,W-TBD,W-TBD
1041_MHRP-Z1054,MHRP-Z1054,,64320,ZIKV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",1111.9,ng/ml,Z-TBD,Z-TBD
1042_MHRP-Z1054,MHRP-Z1054,,11053,DENV1,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",92.1,ng/ml,DOID:12205,DOID:12205
1043_MHRP-Z1054,MHRP-Z1054,,11060,DENV2,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",18.9,ng/ml,DOID:12205,DOID:12205
1044_MHRP-Z1054,MHRP-Z1054,,11069,DENV3,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",65.1,ng/ml,DOID:12205,DOID:12205
1045_MHRP-Z1054,MHRP-Z1054,,11070,DENV4,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",14.9,ng/ml,DOID:12205,DOID:12205
1046_MHRP-Z1056,MHRP-Z1056,,11082,WNV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",,,W-TBD,W-TBD
1047_MHRP-Z1056,MHRP-Z1056,,64320,ZIKV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",50000,ng/ml,Z-TBD,Z-TBD
1048_MHRP-Z1056,MHRP-Z1056,,11053,DENV1,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",108.8,ng/ml,DOID:12205,DOID:12205
1049_MHRP-Z1056,MHRP-Z1056,,11060,DENV2,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",207.8,ng/ml,DOID:12205,DOID:12205
1050_MHRP-Z1056,MHRP-Z1056,,11069,DENV3,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",486.9,ng/ml,DOID:12205,DOID:12205
1051_MHRP-Z1056,MHRP-Z1056,,11070,DENV4,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, Fusion loop, This antibody neutralizes ZIKV and DENV1-4 strains.",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography",154.1,ng/ml,DOID:12205,DOID:12205
1052_MHRP-Z1118,MHRP-Z1118,"PDB: 6NIP, PDB: 6MTX",64320,ZIKV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",10009.3,ng/ml,Z-TBD,Z-TBD
1053_MHRP-Z1118,MHRP-Z1118,"PDB: 6NIP, PDB: 6MTX",11053,DENV1,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",29.4,ng/ml,DOID:12205,DOID:12205
1054_MHRP-Z1118,MHRP-Z1118,"PDB: 6NIP, PDB: 6MTX",11060,DENV2,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",5.3,ng/ml,DOID:12205,DOID:12205
1055_MHRP-Z1118,MHRP-Z1118,"PDB: 6NIP, PDB: 6MTX",11069,DENV3,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",4.9,ng/ml,DOID:12205,DOID:12205
1056_MHRP-Z1118,MHRP-Z1118,"PDB: 6NIP, PDB: 6MTX",11070,DENV4,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",12303.3,ng/ml,DOID:12205,DOID:12205
1057_MHRP-Z1098,MHRP-Z1098,"PDB: 6NIP, PDB: 6MTX",64320,ZIKV,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",50000,ng/ml,Z-TBD,Z-TBD
1058_MHRP-Z1098,MHRP-Z1098,"PDB: 6NIP, PDB: 6MTX",11053,DENV1,Flavivirus,West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999)),WNV,"Envelope protein E, DI/DIII linker region",32015557,"Genome polyprotein, Envelope protein E",Protein,,"Genome polyprotein, Envelope protein E",Neutralization,"ELISA, X-ray crystallography (IC50)",80,ng/ml,DOID:12205,DOID:12205
